TrialTime,proxyThumb_x,proxyThumb_y,proxyThumb_z,proxyThumb_qx,proxyThumb_qy,proxyThumb_qz,proxyThumb_qw,proxyIndex_x,proxyIndex_y,proxyIndex_z,proxyIndex_qx,proxyIndex_qy,proxyIndex_qz,proxyIndex_qw,realThumb_x,realThumb_y,realThumb_z,realThumb_qx,realThumb_qy,realThumb_qz,realThumb_qw,realIndex_x,realIndex_y,realIndex_z,realIndex_qx,realIndex_qy,realIndex_qz,realIndex_qw,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,cyl_x,cyl_y,cyl_z,cyl_qx,cyl_qy,cyl_qz,cyl_qw,grasping,broken,slip,force,vibration,pressure,tableContact,penetration,penetrationSource
0.005,0.1442,1.1758,-0.0909,0.5921,0.2968,0.6430,0.3847,0.1477,1.2101,-0.0275,0.8103,-0.1684,-0.0012,0.5613,0.1442,1.1758,-0.0909,0.5921,0.2968,0.6430,0.3847,0.1477,1.2101,-0.0275,0.8103,-0.1684,-0.0012,0.5613,0.1420,1.4535,-0.4789,-0.0613,0.0162,0.0158,-0.9979,-0.1200,1.2008,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,Table Lower (4),0.0000,Table Lower Target
0.015,0.1443,1.1746,-0.0874,0.5944,0.3015,0.6418,0.3792,0.1470,1.2089,-0.0243,0.8110,-0.1662,-0.0015,0.5609,0.1443,1.1746,-0.0874,0.5944,0.3015,0.6418,0.3792,0.1470,1.2089,-0.0243,0.8110,-0.1662,-0.0015,0.5609,0.1422,1.4535,-0.4790,-0.0612,0.0161,0.0156,-0.9979,-0.1200,1.1999,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.025,0.1450,1.1735,-0.0857,0.5957,0.3028,0.6401,0.3791,0.1476,1.2078,-0.0226,0.8102,-0.1657,-0.0024,0.5622,0.1450,1.1735,-0.0857,0.5957,0.3028,0.6401,0.3791,0.1476,1.2078,-0.0226,0.8102,-0.1657,-0.0024,0.5622,0.1425,1.4535,-0.4790,-0.0612,0.0160,0.0155,-0.9979,-0.1200,1.1985,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.035,0.1453,1.1726,-0.0837,0.5969,0.3041,0.6384,0.3791,0.1479,1.2068,-0.0207,0.8094,-0.1654,-0.0032,0.5635,0.1453,1.1726,-0.0837,0.5969,0.3041,0.6384,0.3791,0.1479,1.2068,-0.0207,0.8094,-0.1654,-0.0032,0.5635,0.1426,1.4536,-0.4790,-0.0610,0.0160,0.0155,-0.9979,-0.1200,1.1967,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.045,0.1458,1.1713,-0.0827,0.5977,0.3050,0.6375,0.3786,0.1484,1.2056,-0.0197,0.8084,-0.1652,-0.0038,0.5650,0.1458,1.1713,-0.0827,0.5977,0.3050,0.6375,0.3786,0.1484,1.2056,-0.0197,0.8084,-0.1652,-0.0038,0.5650,0.1428,1.4537,-0.4789,-0.0606,0.0162,0.0154,-0.9979,-0.1200,1.1944,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.055,0.1461,1.1701,-0.0814,0.5985,0.3060,0.6366,0.3780,0.1487,1.2046,-0.0184,0.8074,-0.1648,-0.0044,0.5665,0.1461,1.1701,-0.0814,0.5985,0.3060,0.6366,0.3780,0.1487,1.2046,-0.0184,0.8074,-0.1648,-0.0044,0.5665,0.1428,1.4538,-0.4788,-0.0600,0.0164,0.0153,-0.9979,-0.1200,1.1916,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.065,0.1464,1.1689,-0.0799,0.5996,0.3071,0.6355,0.3772,0.1491,1.2035,-0.0169,0.8063,-0.1643,-0.0053,0.5682,0.1464,1.1689,-0.0799,0.5996,0.3071,0.6355,0.3772,0.1491,1.2035,-0.0169,0.8063,-0.1643,-0.0053,0.5682,0.1428,1.4539,-0.4786,-0.0597,0.0168,0.0153,-0.9980,-0.1200,1.1882,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.075,0.1470,1.1681,-0.0793,0.5998,0.3078,0.6350,0.3772,0.1497,1.2030,-0.0162,0.8050,-0.1635,-0.0053,0.5703,0.1470,1.1681,-0.0793,0.5998,0.3078,0.6350,0.3772,0.1497,1.2030,-0.0162,0.8050,-0.1635,-0.0053,0.5703,0.1428,1.4539,-0.4785,-0.0595,0.0174,0.0154,-0.9980,-0.1200,1.1844,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.085,0.1472,1.1675,-0.0787,0.5997,0.3076,0.6345,0.3785,0.1503,1.2025,-0.0154,0.8036,-0.1623,-0.0052,0.5726,0.1472,1.1675,-0.0787,0.5997,0.3076,0.6345,0.3785,0.1503,1.2025,-0.0154,0.8036,-0.1623,-0.0052,0.5726,0.1428,1.4539,-0.4783,-0.0596,0.0179,0.0154,-0.9979,-0.1200,1.1828,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.095,0.1471,1.1680,-0.0789,0.5990,0.3060,0.6338,0.3819,0.1509,1.2033,-0.0154,0.8006,-0.1619,-0.0052,0.5769,0.1471,1.1680,-0.0789,0.5990,0.3060,0.6338,0.3819,0.1509,1.2033,-0.0154,0.8006,-0.1619,-0.0052,0.5769,0.1428,1.4539,-0.4782,-0.0597,0.0187,0.0154,-0.9979,-0.1200,1.1827,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,Table Upper Target,0.0000,none
