TrialTime,proxyThumb_x,proxyThumb_y,proxyThumb_z,proxyThumb_qx,proxyThumb_qy,proxyThumb_qz,proxyThumb_qw,proxyIndex_x,proxyIndex_y,proxyIndex_z,proxyIndex_qx,proxyIndex_qy,proxyIndex_qz,proxyIndex_qw,realThumb_x,realThumb_y,realThumb_z,realThumb_qx,realThumb_qy,realThumb_qz,realThumb_qw,realIndex_x,realIndex_y,realIndex_z,realIndex_qx,realIndex_qy,realIndex_qz,realIndex_qw,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,cyl_x,cyl_y,cyl_z,cyl_qx,cyl_qy,cyl_qz,cyl_qw,grasping,broken,slip,force,vibration,pressure,tableContact,penetration,penetrationSource
96.376,0.0298,1.0359,-0.3427,0.4951,-0.0563,0.3947,0.7720,0.0474,1.0480,-0.3063,0.7104,-0.6747,0.0796,0.1838,0.0298,1.0359,-0.3427,0.4951,-0.0563,0.3947,0.7720,0.0474,1.0480,-0.3063,0.7104,-0.6747,0.0796,0.1838,0.0344,1.3232,-0.6092,-0.1174,0.0060,0.0698,0.9906,-0.1200,-5024.8480,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,90,Table Upper Target,0.0000,Table Upper Target
96.386,0.0296,1.0359,-0.3427,0.4943,-0.0559,0.3951,0.7723,0.0472,1.0479,-0.3064,0.7114,-0.6738,0.0811,0.1823,0.0296,1.0359,-0.3427,0.4943,-0.0559,0.3951,0.7723,0.0472,1.0479,-0.3064,0.7114,-0.6738,0.0811,0.1823,0.0345,1.3236,-0.6096,-0.1191,0.0053,0.0698,0.9904,-0.1200,-5034.3050,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,90,Table Upper Target,0.0000,Table Upper Target
96.396,0.0295,1.0361,-0.3427,0.4934,-0.0562,0.3950,0.7729,0.0471,1.0479,-0.3064,0.7116,-0.6737,0.0814,0.1819,0.0295,1.0361,-0.3427,0.4934,-0.0562,0.3950,0.7729,0.0471,1.0479,-0.3064,0.7116,-0.6737,0.0814,0.1819,0.0344,1.3238,-0.6100,-0.1199,0.0045,0.0698,0.9903,-0.1200,-5043.7660,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,90,Table Upper Target,0.0000,Table Upper Target
96.406,0.0293,1.0362,-0.3428,0.4925,-0.0565,0.3950,0.7735,0.0469,1.0480,-0.3064,0.7118,-0.6736,0.0816,0.1815,0.0293,1.0362,-0.3428,0.4925,-0.0565,0.3950,0.7735,0.0469,1.0480,-0.3064,0.7118,-0.6736,0.0816,0.1815,0.0344,1.3239,-0.6104,-0.1204,0.0036,0.0694,0.9903,-0.1200,-5053.2270,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,90,Table Upper Target,0.0000,Table Upper Target
96.416,0.0291,1.0364,-0.3428,0.4914,-0.0568,0.3950,0.7741,0.0467,1.0480,-0.3063,0.7119,-0.6735,0.0818,0.1812,0.0291,1.0364,-0.3428,0.4914,-0.0568,0.3950,0.7741,0.0467,1.0480,-0.3063,0.7119,-0.6735,0.0818,0.1812,0.0345,1.3241,-0.6108,-0.1207,0.0027,0.0686,0.9903,-0.1200,-5062.6880,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,90,Table Upper Target,0.0000,Table Upper Target
96.426,0.0289,1.0366,-0.3429,0.4902,-0.0572,0.3949,0.7749,0.0466,1.0481,-0.3063,0.7121,-0.6734,0.0819,0.1810,0.0289,1.0366,-0.3429,0.4902,-0.0572,0.3949,0.7749,0.0466,1.0481,-0.3063,0.7121,-0.6734,0.0819,0.1810,0.0346,1.3242,-0.6112,-0.1204,0.0018,0.0681,0.9904,-0.1200,-5072.1480,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,90,Table Upper Target,0.0000,Table Upper Target
96.436,0.0287,1.0369,-0.3429,0.4882,-0.0580,0.3949,0.7761,0.0463,1.0483,-0.3063,0.7120,-0.6734,0.0820,0.1811,0.0287,1.0369,-0.3429,0.4882,-0.0580,0.3949,0.7761,0.0463,1.0483,-0.3063,0.7120,-0.6734,0.0820,0.1811,0.0347,1.3243,-0.6116,-0.1201,0.0009,0.0677,0.9905,-0.1200,-5081.6090,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,90,Table Upper Target,0.0000,Table Upper Target
96.446,0.0284,1.0371,-0.3430,0.4863,-0.0588,0.3948,0.7773,0.0461,1.0485,-0.3062,0.7120,-0.6735,0.0820,0.1812,0.0284,1.0371,-0.3430,0.4863,-0.0588,0.3948,0.7773,0.0461,1.0485,-0.3062,0.7120,-0.6735,0.0820,0.1812,0.0348,1.3242,-0.6119,-0.1204,0.0000,0.0672,0.9904,-0.1200,-5091.0700,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,90,Table Upper Target,0.0000,Table Upper Target
96.456,0.0281,1.0374,-0.3430,0.4844,-0.0595,0.3948,0.7785,0.0458,1.0487,-0.3061,0.7119,-0.6735,0.0821,0.1813,0.0281,1.0374,-0.3430,0.4844,-0.0595,0.3948,0.7785,0.0458,1.0487,-0.3061,0.7119,-0.6735,0.0821,0.1813,0.0349,1.3243,-0.6122,-0.1200,-0.0010,0.0669,0.9905,-0.1200,-5100.5310,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,90,Table Upper Target,0.0000,Table Upper Target
96.466,0.0276,1.0379,-0.3430,0.4828,-0.0601,0.3947,0.7794,0.0453,1.0490,-0.3060,0.7118,-0.6735,0.0822,0.1815,0.0276,1.0379,-0.3430,0.4828,-0.0601,0.3947,0.7794,0.0453,1.0490,-0.3060,0.7118,-0.6735,0.0822,0.1815,0.0350,1.3243,-0.6125,-0.1197,-0.0018,0.0666,0.9906,-0.1200,-5109.9960,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,90,Table Upper Target,0.0000,Table Upper Target
