TrialTime,countdownRunning,proxyThumb_x,proxyThumb_y,proxyThumb_z,proxyThumb_qx,proxyThumb_qy,proxyThumb_qz,proxyThumb_qw,proxyIndex_x,proxyIndex_y,proxyIndex_z,proxyIndex_qx,proxyIndex_qy,proxyIndex_qz,proxyIndex_qw,realThumb_x,realThumb_y,realThumb_z,realThumb_qx,realThumb_qy,realThumb_qz,realThumb_qw,realIndex_x,realIndex_y,realIndex_z,realIndex_qx,realIndex_qy,realIndex_qz,realIndex_qw,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,cyl_x,cyl_y,cyl_z,cyl_qx,cyl_qy,cyl_qz,cyl_qw,grasping,broken,slip,force,valve1,valve2,pumps,tableContact,penetration,penetrationSource
0.006,1,0.0000,0.0000,0.0000,0.7071,0.0000,0.0000,0.7071,0.0000,0.0000,0.0000,0.7071,0.0000,0.0000,0.7071,0.0000,0.0000,0.0000,0.7071,0.0000,0.0000,0.7071,0.0000,0.0000,0.0000,0.7071,0.0000,0.0000,0.7071,0.1490,1.6268,-0.5122,0.0343,0.2276,0.0216,-0.9729,-0.1200,1.3308,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,155,0,0,0,none,0.0000,none
0.016,1,0.2748,0.8814,-0.4473,0.8320,-0.1332,0.5363,0.0486,0.2798,0.8496,-0.4380,0.8456,-0.2542,-0.2160,-0.4167,0.2748,0.8814,-0.4473,0.8320,-0.1332,0.5363,0.0486,0.2798,0.8496,-0.4380,0.8456,-0.2542,-0.2160,-0.4167,0.1429,1.6232,-0.5085,0.0109,0.2834,0.0313,-0.9584,-0.1200,1.3295,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,0,none,0.0000,none
0.026,1,0.2747,0.8813,-0.4473,0.8319,-0.1332,0.5365,0.0484,0.2798,0.8496,-0.4379,0.8455,-0.2543,-0.2160,-0.4169,0.2747,0.8813,-0.4473,0.8319,-0.1332,0.5365,0.0484,0.2798,0.8496,-0.4379,0.8455,-0.2543,-0.2160,-0.4169,0.1426,1.6232,-0.5085,0.0108,0.2844,0.0314,-0.9581,-0.1200,1.3273,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,0,none,0.0000,none
0.036,1,0.2747,0.8812,-0.4472,0.8319,-0.1332,0.5365,0.0484,0.2798,0.8494,-0.4378,0.8455,-0.2544,-0.2158,-0.4169,0.2747,0.8812,-0.4472,0.8319,-0.1332,0.5365,0.0484,0.2798,0.8494,-0.4378,0.8455,-0.2544,-0.2158,-0.4169,0.1422,1.6231,-0.5083,0.0111,0.2856,0.0312,-0.9578,-0.1200,1.3241,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,0,none,0.0000,none
0.046,1,0.2747,0.8810,-0.4470,0.8318,-0.1332,0.5368,0.0482,0.2797,0.8493,-0.4377,0.8454,-0.2546,-0.2156,-0.4171,0.2747,0.8810,-0.4470,0.8318,-0.1332,0.5368,0.0482,0.2797,0.8493,-0.4377,0.8454,-0.2546,-0.2156,-0.4171,0.1419,1.6233,-0.5083,0.0114,0.2867,0.0309,-0.9575,-0.1200,1.3200,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,0,none,0.0000,none
0.056,1,0.2747,0.8805,-0.4467,0.8315,-0.1332,0.5371,0.0479,0.2796,0.8488,-0.4373,0.8453,-0.2548,-0.2154,-0.4173,0.2747,0.8805,-0.4467,0.8315,-0.1332,0.5371,0.0479,0.2796,0.8488,-0.4373,0.8453,-0.2548,-0.2154,-0.4173,0.1417,1.6232,-0.5082,0.0120,0.2877,0.0310,-0.9571,-0.1200,1.3148,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,0,none,0.0000,none
0.066,1,0.2749,0.8799,-0.4464,0.8312,-0.1333,0.5376,0.0483,0.2798,0.8483,-0.4370,0.8453,-0.2549,-0.2147,-0.4177,0.2749,0.8799,-0.4464,0.8312,-0.1333,0.5376,0.0483,0.2798,0.8483,-0.4370,0.8453,-0.2549,-0.2147,-0.4177,0.1414,1.6232,-0.5082,0.0121,0.2886,0.0308,-0.9569,-0.1200,1.3087,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,0,none,0.0000,none
0.076,1,0.2751,0.8792,-0.4460,0.8306,-0.1335,0.5385,0.0488,0.2800,0.8476,-0.4366,0.8453,-0.2551,-0.2135,-0.4181,0.2751,0.8792,-0.4460,0.8306,-0.1335,0.5385,0.0488,0.2800,0.8476,-0.4366,0.8453,-0.2551,-0.2135,-0.4181,0.1411,1.6232,-0.5081,0.0122,0.2897,0.0307,-0.9565,-0.1200,1.3016,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,0,none,0.0000,none
0.086,1,0.2753,0.8781,-0.4457,0.8302,-0.1337,0.5390,0.0495,0.2801,0.8466,-0.4364,0.8451,-0.2556,-0.2124,-0.4188,0.2753,0.8781,-0.4457,0.8302,-0.1337,0.5390,0.0495,0.2801,0.8466,-0.4364,0.8451,-0.2556,-0.2124,-0.4188,0.1407,1.6233,-0.5080,0.0124,0.2907,0.0308,-0.9562,-0.1200,1.2935,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,0,none,0.0000,none
0.096,1,0.2754,0.8769,-0.4454,0.8297,-0.1339,0.5396,0.0501,0.2801,0.8454,-0.4361,0.8448,-0.2562,-0.2111,-0.4196,0.2754,0.8769,-0.4454,0.8297,-0.1339,0.5396,0.0501,0.2801,0.8454,-0.4361,0.8448,-0.2562,-0.2111,-0.4196,0.1404,1.6233,-0.5079,0.0127,0.2915,0.0310,-0.9560,-0.1200,1.2844,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,0,none,0.0000,none
