TrialTime,countdownRunning,proxyThumb_x,proxyThumb_y,proxyThumb_z,proxyThumb_qx,proxyThumb_qy,proxyThumb_qz,proxyThumb_qw,proxyIndex_x,proxyIndex_y,proxyIndex_z,proxyIndex_qx,proxyIndex_qy,proxyIndex_qz,proxyIndex_qw,realThumb_x,realThumb_y,realThumb_z,realThumb_qx,realThumb_qy,realThumb_qz,realThumb_qw,realIndex_x,realIndex_y,realIndex_z,realIndex_qx,realIndex_qy,realIndex_qz,realIndex_qw,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,cyl_x,cyl_y,cyl_z,cyl_qx,cyl_qy,cyl_qz,cyl_qw,grasping,broken,slip,force,vibration,pressure,tableContact,penetration,penetrationSource
0.116,1,0.3128,1.3239,0.2091,0.1837,-0.8654,0.1417,0.4441,0.2493,1.3136,0.2113,0.2343,-0.8064,0.2502,-0.4819,0.3128,1.3239,0.2091,0.1837,-0.8654,0.1417,0.4441,0.2493,1.3136,0.2113,0.2343,-0.8064,0.2502,-0.4819,0.5311,1.6349,-0.1261,-0.1842,0.3904,-0.0773,-0.8987,-0.1200,1.1333,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.126,1,0.3182,1.3254,0.2134,0.1557,-0.8715,0.1078,0.4523,0.2463,1.3128,0.2169,0.2509,-0.8181,0.2129,-0.4717,0.3182,1.3254,0.2134,0.1557,-0.8715,0.1078,0.4523,0.2463,1.3128,0.2169,0.2509,-0.8181,0.2129,-0.4717,0.5311,1.6351,-0.1244,-0.1851,0.3902,-0.0764,-0.8987,-0.1200,1.1213,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.136,1,0.3208,1.3256,0.2143,0.1436,-0.8737,0.1075,0.4522,0.2446,1.3129,0.2205,0.2716,-0.8275,0.1717,-0.4604,0.3208,1.3256,0.2143,0.1436,-0.8737,0.1075,0.4522,0.2446,1.3129,0.2205,0.2716,-0.8275,0.1717,-0.4604,0.5308,1.6354,-0.1227,-0.1860,0.3900,-0.0755,-0.8987,-0.1200,1.1083,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.146,1,0.3239,1.3261,0.2154,0.1278,-0.8761,0.1012,0.4538,0.2437,1.3128,0.2238,0.2849,-0.8334,0.1424,-0.4516,0.3239,1.3261,0.2154,0.1278,-0.8761,0.1012,0.4538,0.2437,1.3128,0.2238,0.2849,-0.8334,0.1424,-0.4516,0.5304,1.6355,-0.1210,-0.1867,0.3898,-0.0748,-0.8987,-0.1200,1.0943,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.156,1,0.3246,1.3257,0.2171,0.1269,-0.8766,0.1016,0.4528,0.2489,1.3144,0.2201,0.2681,-0.8265,0.1796,-0.4613,0.3246,1.3257,0.2171,0.1269,-0.8766,0.1016,0.4528,0.2489,1.3144,0.2201,0.2681,-0.8265,0.1796,-0.4613,0.5300,1.6357,-0.1194,-0.1871,0.3902,-0.0744,-0.8984,-0.1200,1.0794,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.166,1,0.3252,1.3252,0.2186,0.1260,-0.8770,0.1024,0.4522,0.2517,1.3148,0.2195,0.2603,-0.8232,0.1955,-0.4651,0.3252,1.3252,0.2186,0.1260,-0.8770,0.1024,0.4522,0.2517,1.3148,0.2195,0.2603,-0.8232,0.1955,-0.4651,0.5296,1.6359,-0.1179,-0.1873,0.3909,-0.0743,-0.8981,-0.1200,1.0634,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.176,1,0.3258,1.3248,0.2201,0.1249,-0.8773,0.1030,0.4518,0.2535,1.3149,0.2201,0.2564,-0.8222,0.2023,-0.4661,0.3258,1.3248,0.2201,0.1249,-0.8773,0.1030,0.4518,0.2535,1.3149,0.2201,0.2564,-0.8222,0.2023,-0.4661,0.5292,1.6361,-0.1166,-0.1871,0.3918,-0.0740,-0.8978,-0.1200,1.0465,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.186,1,0.3250,1.3238,0.2193,0.1289,-0.8762,0.1168,0.4495,0.2580,1.3151,0.2174,0.2412,-0.8146,0.2340,-0.4728,0.3250,1.3238,0.2193,0.1289,-0.8762,0.1168,0.4495,0.2580,1.3151,0.2174,0.2412,-0.8146,0.2340,-0.4728,0.5288,1.6363,-0.1153,-0.1871,0.3935,-0.0739,-0.8970,-0.1200,1.0286,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.196,1,0.3243,1.3228,0.2188,0.1327,-0.8750,0.1286,0.4475,0.2611,1.3150,0.2160,0.2312,-0.8092,0.2541,-0.4766,0.3243,1.3228,0.2188,0.1327,-0.8750,0.1286,0.4475,0.2611,1.3150,0.2160,0.2312,-0.8092,0.2541,-0.4766,0.5282,1.6365,-0.1141,-0.1872,0.3961,-0.0740,-0.8959,-0.1200,1.0097,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
0.206,1,0.3234,1.3219,0.2184,0.1402,-0.8735,0.1431,0.4438,0.2628,1.3147,0.2156,0.2234,-0.8053,0.2684,-0.4791,0.3234,1.3219,0.2184,0.1402,-0.8735,0.1431,0.4438,0.2628,1.3147,0.2156,0.2234,-0.8053,0.2684,-0.4791,0.5276,1.6366,-0.1131,-0.1875,0.3990,-0.0735,-0.8946,-0.1200,0.9898,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,900,none,0.0000,none
