TrialTime,countdownRunning,proxyThumb_x,proxyThumb_y,proxyThumb_z,proxyThumb_qx,proxyThumb_qy,proxyThumb_qz,proxyThumb_qw,proxyIndex_x,proxyIndex_y,proxyIndex_z,proxyIndex_qx,proxyIndex_qy,proxyIndex_qz,proxyIndex_qw,realThumb_x,realThumb_y,realThumb_z,realThumb_qx,realThumb_qy,realThumb_qz,realThumb_qw,realIndex_x,realIndex_y,realIndex_z,realIndex_qx,realIndex_qy,realIndex_qz,realIndex_qw,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,cyl_x,cyl_y,cyl_z,cyl_qx,cyl_qy,cyl_qz,cyl_qw,grasping,broken,slip,force,valve1,valve2,pumps,tableContact,penetration,penetrationSource
0.006,1,0.1011,1.4104,0.3296,0.5415,0.1527,0.6134,0.5543,0.1124,1.4732,0.3937,0.7162,-0.5000,0.0292,0.4860,0.1011,1.4104,0.3296,0.5415,0.1527,0.6134,0.5543,0.1124,1.4732,0.3937,0.7162,-0.5000,0.0292,0.4860,0.0145,1.7456,-0.0489,-0.1013,-0.0729,0.0317,-0.9917,-0.1200,1.3308,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,0,none,0.0000,none
0.016,1,0.1061,1.3708,0.2974,0.5494,0.0582,0.6335,0.5416,0.1048,1.4186,0.3649,0.7632,-0.5451,0.0905,0.3350,0.1061,1.3708,0.2974,0.5494,0.0582,0.6335,0.5416,0.1048,1.4186,0.3649,0.7632,-0.5451,0.0905,0.3350,0.0179,1.7394,-0.0305,-0.1224,-0.0639,0.0311,-0.9899,-0.1200,1.3295,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,0,none,0.0000,none
0.026,1,0.1085,1.3612,0.2909,0.5519,0.0191,0.6389,0.5355,0.1036,1.4031,0.3573,0.7705,-0.5638,0.1024,0.2792,0.1085,1.3612,0.2909,0.5519,0.0191,0.6389,0.5355,0.1036,1.4031,0.3573,0.7705,-0.5638,0.1024,0.2792,0.0187,1.7394,-0.0302,-0.1228,-0.0659,0.0315,-0.9897,-0.1200,1.3273,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,0,none,0.0000,none
0.036,1,0.1121,1.3542,0.2898,0.5566,0.0098,0.6379,0.5322,0.1061,1.3953,0.3548,0.7708,-0.5708,0.1031,0.2636,0.1121,1.3542,0.2898,0.5566,0.0098,0.6379,0.5322,0.1061,1.3953,0.3548,0.7708,-0.5708,0.1031,0.2636,0.0195,1.7393,-0.0298,-0.1232,-0.0680,0.0319,-0.9895,-0.1200,1.3241,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,0,none,0.0000,none
0.046,1,0.1158,1.3487,0.2907,0.5624,0.0099,0.6354,0.5291,0.1093,1.3904,0.3543,0.7699,-0.5742,0.1010,0.2595,0.1158,1.3487,0.2907,0.5624,0.0099,0.6354,0.5291,0.1093,1.3904,0.3543,0.7699,-0.5742,0.1010,0.2595,0.0203,1.7392,-0.0296,-0.1235,-0.0701,0.0322,-0.9893,-0.1200,1.3200,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,0,none,0.0000,none
0.056,1,0.1156,1.3487,0.2894,0.5636,0.0079,0.6342,0.5293,0.1093,1.3901,0.3530,0.7694,-0.5757,0.1001,0.2579,0.1156,1.3487,0.2894,0.5636,0.0079,0.6342,0.5293,0.1093,1.3901,0.3530,0.7694,-0.5757,0.1001,0.2579,0.0211,1.7391,-0.0293,-0.1239,-0.0721,0.0325,-0.9891,-0.1200,1.3148,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,0,none,0.0000,none
0.066,1,0.1159,1.3487,0.2890,0.5648,0.0071,0.6331,0.5293,0.1096,1.3899,0.3526,0.7691,-0.5766,0.0995,0.2572,0.1159,1.3487,0.2890,0.5648,0.0071,0.6331,0.5293,0.1096,1.3899,0.3526,0.7691,-0.5766,0.0995,0.2572,0.0218,1.7390,-0.0290,-0.1241,-0.0742,0.0326,-0.9890,-0.1200,1.3087,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,0,none,0.0000,none
0.076,1,0.1161,1.3489,0.2890,0.5650,0.0071,0.6325,0.5298,0.1099,1.3900,0.3525,0.7692,-0.5764,0.0997,0.2570,0.1161,1.3489,0.2890,0.5650,0.0071,0.6325,0.5298,0.1099,1.3900,0.3525,0.7692,-0.5764,0.0997,0.2570,0.0225,1.7389,-0.0288,-0.1243,-0.0761,0.0327,-0.9888,-0.1200,1.3016,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,0,none,0.0000,none
0.086,1,0.1164,1.3491,0.2891,0.5654,0.0072,0.6318,0.5303,0.1102,1.3900,0.3525,0.7694,-0.5762,0.0998,0.2570,0.1164,1.3491,0.2891,0.5654,0.0072,0.6318,0.5303,0.1102,1.3900,0.3525,0.7694,-0.5762,0.0998,0.2570,0.0232,1.7389,-0.0286,-0.1245,-0.0779,0.0329,-0.9886,-0.1200,1.2935,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,0,none,0.0000,none
0.096,1,0.1168,1.3493,0.2895,0.5664,0.0079,0.6304,0.5308,0.1108,1.3901,0.3528,0.7695,-0.5759,0.0991,0.2578,0.1168,1.3493,0.2895,0.5664,0.0079,0.6304,0.5308,0.1108,1.3901,0.3528,0.7695,-0.5759,0.0991,0.2578,0.0238,1.7388,-0.0285,-0.1247,-0.0796,0.0333,-0.9884,-0.1200,1.2844,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,0,none,0.0000,none
