TrialTime,countdownRunning,proxyThumb_x,proxyThumb_y,proxyThumb_z,proxyThumb_qx,proxyThumb_qy,proxyThumb_qz,proxyThumb_qw,proxyIndex_x,proxyIndex_y,proxyIndex_z,proxyIndex_qx,proxyIndex_qy,proxyIndex_qz,proxyIndex_qw,realThumb_x,realThumb_y,realThumb_z,realThumb_qx,realThumb_qy,realThumb_qz,realThumb_qw,realIndex_x,realIndex_y,realIndex_z,realIndex_qx,realIndex_qy,realIndex_qz,realIndex_qw,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,cyl_x,cyl_y,cyl_z,cyl_qx,cyl_qy,cyl_qz,cyl_qw,grasping,broken,slip,force,vibration,pressure,tableContact,penetration,penetrationSource
0.008,1,0.0164,1.0195,0.2039,0.3618,0.3245,-0.8680,-0.1020,-0.0224,1.0580,0.1285,-0.4107,0.5192,-0.5585,0.4998,0.0164,1.0195,0.2039,0.3618,0.3245,-0.8680,-0.1020,-0.0224,1.0580,0.1285,-0.4107,0.5192,-0.5585,0.4998,0.0747,1.2985,0.5622,0.0624,-0.9918,0.0676,0.0890,-0.1200,1.2008,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,90,none,0.0000,none
0.018,1,0.0251,1.0147,0.1668,0.3846,0.3224,-0.8538,-0.1381,-0.0086,1.0593,0.0886,-0.3731,0.5283,-0.5851,0.4892,0.0251,1.0147,0.1668,0.3846,0.3224,-0.8538,-0.1381,-0.0086,1.0593,0.0886,-0.3731,0.5283,-0.5851,0.4892,0.0809,1.2988,0.5524,0.0574,-0.9929,0.0687,0.0788,-0.1200,1.1995,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,90,none,0.0000,none
0.028,1,0.0269,1.0133,0.1616,0.3927,0.3229,-0.8485,-0.1471,-0.0051,1.0584,0.0833,-0.3626,0.5312,-0.5931,0.4844,0.0269,1.0133,0.1616,0.3927,0.3229,-0.8485,-0.1471,-0.0051,1.0584,0.0833,-0.3626,0.5312,-0.5931,0.4844,0.0811,1.2988,0.5522,0.0567,-0.9930,0.0685,0.0782,-0.1200,1.1973,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,90,none,0.0000,none
0.038,1,0.0274,1.0118,0.1599,0.3970,0.3239,-0.8456,-0.1501,-0.0035,1.0572,0.0817,-0.3568,0.5311,-0.5969,0.4841,0.0274,1.0118,0.1599,0.3970,0.3239,-0.8456,-0.1501,-0.0035,1.0572,0.0817,-0.3568,0.5311,-0.5969,0.4841,0.0812,1.2988,0.5519,0.0562,-0.9930,0.0684,0.0776,-0.1200,1.1941,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,90,none,0.0000,none
0.048,1,0.0277,1.0109,0.1591,0.3994,0.3246,-0.8439,-0.1517,-0.0025,1.0564,0.0809,-0.3532,0.5307,-0.5991,0.4844,0.0277,1.0109,0.1591,0.3994,0.3246,-0.8439,-0.1517,-0.0025,1.0564,0.0809,-0.3532,0.5307,-0.5991,0.4844,0.0814,1.2988,0.5517,0.0558,-0.9931,0.0683,0.0772,-0.1200,1.1900,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,90,none,0.0000,none
0.058,1,0.0279,1.0102,0.1594,0.4011,0.3256,-0.8427,-0.1518,-0.0019,1.0557,0.0813,-0.3510,0.5300,-0.6005,0.4851,0.0279,1.0102,0.1594,0.4011,0.3256,-0.8427,-0.1518,-0.0019,1.0557,0.0813,-0.3510,0.5300,-0.6005,0.4851,0.0815,1.2989,0.5515,0.0556,-0.9931,0.0684,0.0770,-0.1200,1.1848,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,90,none,0.0000,none
0.068,1,0.0281,1.0098,0.1597,0.4023,0.3263,-0.8418,-0.1519,-0.0014,1.0553,0.0816,-0.3494,0.5293,-0.6015,0.4858,0.0281,1.0098,0.1597,0.4023,0.3263,-0.8418,-0.1519,-0.0014,1.0553,0.0816,-0.3494,0.5293,-0.6015,0.4858,0.0816,1.2989,0.5513,0.0555,-0.9932,0.0681,0.0769,-0.1200,1.1787,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,90,none,0.0000,none
0.078,1,0.0282,1.0095,0.1600,0.4033,0.3268,-0.8411,-0.1519,-0.0009,1.0549,0.0819,-0.3479,0.5287,-0.6023,0.4865,0.0282,1.0095,0.1600,0.4033,0.3268,-0.8411,-0.1519,-0.0009,1.0549,0.0819,-0.3479,0.5287,-0.6023,0.4865,0.0816,1.2989,0.5510,0.0554,-0.9932,0.0677,0.0769,-0.1200,1.1716,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,90,none,0.0000,none
0.088,1,0.0284,1.0085,0.1614,0.4044,0.3270,-0.8406,-0.1514,-0.0003,1.0539,0.0832,-0.3466,0.5274,-0.6033,0.4876,0.0284,1.0085,0.1614,0.4044,0.3270,-0.8406,-0.1514,-0.0003,1.0539,0.0832,-0.3466,0.5274,-0.6033,0.4876,0.0816,1.2990,0.5506,0.0552,-0.9933,0.0671,0.0768,-0.1200,1.1635,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,90,none,0.0000,none
0.098,1,0.0287,1.0072,0.1633,0.4057,0.3272,-0.8400,-0.1507,0.0004,1.0525,0.0851,-0.3452,0.5259,-0.6044,0.4889,0.0287,1.0072,0.1633,0.4057,0.3272,-0.8400,-0.1507,0.0004,1.0525,0.0851,-0.3452,0.5259,-0.6044,0.4889,0.0816,1.2990,0.5503,0.0545,-0.9934,0.0666,0.0764,-0.1200,1.1544,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,90,none,0.0000,none
