TrialTime,proxyThumb_x,proxyThumb_y,proxyThumb_z,proxyThumb_qx,proxyThumb_qy,proxyThumb_qz,proxyThumb_qw,proxyIndex_x,proxyIndex_y,proxyIndex_z,proxyIndex_qx,proxyIndex_qy,proxyIndex_qz,proxyIndex_qw,realThumb_x,realThumb_y,realThumb_z,realThumb_qx,realThumb_qy,realThumb_qz,realThumb_qw,realIndex_x,realIndex_y,realIndex_z,realIndex_qx,realIndex_qy,realIndex_qz,realIndex_qw,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,cyl_x,cyl_y,cyl_z,cyl_qx,cyl_qy,cyl_qz,cyl_qw,grasping,broken,slip,force,vibration,pressure,tableContact,penetration,penetrationSource
0.007,0.1132,1.2505,-0.0069,0.4034,-0.2014,0.5461,0.7061,0.1862,1.2812,0.0990,0.5533,-0.5468,-0.2894,0.5578,0.1132,1.2505,-0.0069,0.4034,-0.2014,0.5461,0.7061,0.1862,1.2812,0.0990,0.5533,-0.5468,-0.2894,0.5578,0.1333,1.5944,-0.3233,0.1519,0.0657,-0.0303,0.9858,-0.1200,1.2008,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.017,0.1037,1.2552,-0.0677,0.4381,-0.1812,0.5540,0.6844,0.1677,1.2931,0.0352,0.5357,-0.6010,-0.2625,0.5319,0.1037,1.2552,-0.0677,0.4381,-0.1812,0.5540,0.6844,0.1677,1.2931,0.0352,0.5357,-0.6010,-0.2625,0.5319,0.1298,1.5989,-0.3432,0.1579,0.0418,-0.0297,0.9861,-0.1200,1.1995,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.027,0.1015,1.2579,-0.0834,0.4446,-0.1798,0.5590,0.6765,0.1623,1.2976,0.0199,0.5275,-0.6204,-0.2560,0.5208,0.1015,1.2579,-0.0834,0.4446,-0.1798,0.5590,0.6765,0.1623,1.2976,0.0199,0.5275,-0.6204,-0.2560,0.5208,0.1293,1.5989,-0.3440,0.1587,0.0402,-0.0292,0.9861,-0.1200,1.1973,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.037,0.0990,1.2587,-0.0917,0.4379,-0.1849,0.5579,0.6803,0.1590,1.2983,0.0120,0.5240,-0.6280,-0.2533,0.5166,0.0990,1.2587,-0.0917,0.4379,-0.1849,0.5579,0.6803,0.1590,1.2983,0.0120,0.5240,-0.6280,-0.2533,0.5166,0.1288,1.5990,-0.3449,0.1593,0.0387,-0.0287,0.9861,-0.1200,1.1941,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.047,0.0970,1.2592,-0.0985,0.4343,-0.1885,0.5573,0.6821,0.1563,1.2985,0.0055,0.5231,-0.6326,-0.2511,0.5130,0.0970,1.2592,-0.0985,0.4343,-0.1885,0.5573,0.6821,0.1563,1.2985,0.0055,0.5231,-0.6326,-0.2511,0.5130,0.1284,1.5990,-0.3457,0.1599,0.0372,-0.0282,0.9860,-0.1200,1.1900,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.057,0.0953,1.2596,-0.1045,0.4319,-0.1915,0.5569,0.6831,0.1538,1.2985,-0.0002,0.5240,-0.6362,-0.2483,0.5090,0.0953,1.2596,-0.1045,0.4319,-0.1915,0.5569,0.6831,0.1538,1.2985,-0.0002,0.5240,-0.6362,-0.2483,0.5090,0.1280,1.5991,-0.3466,0.1603,0.0359,-0.0277,0.9860,-0.1200,1.1848,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.067,0.0938,1.2569,-0.1070,0.4298,-0.1942,0.5554,0.6849,0.1519,1.2949,-0.0024,0.5259,-0.6367,-0.2469,0.5071,0.0938,1.2569,-0.1070,0.4298,-0.1942,0.5554,0.6849,0.1519,1.2949,-0.0024,0.5259,-0.6367,-0.2469,0.5071,0.1276,1.5991,-0.3474,0.1606,0.0347,-0.0272,0.9860,-0.1200,1.1787,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.077,0.0927,1.2556,-0.1097,0.4272,-0.1969,0.5537,0.6871,0.1503,1.2925,-0.0047,0.5284,-0.6374,-0.2445,0.5048,0.0927,1.2556,-0.1097,0.4272,-0.1969,0.5537,0.6871,0.1503,1.2925,-0.0047,0.5284,-0.6374,-0.2445,0.5048,0.1273,1.5992,-0.3482,0.1609,0.0334,-0.0267,0.9860,-0.1200,1.1719,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.087,0.0924,1.2565,-0.1121,0.4132,-0.2079,0.5464,0.6982,0.1495,1.2898,-0.0054,0.5301,-0.6374,-0.2435,0.5034,0.0924,1.2565,-0.1121,0.4132,-0.2079,0.5464,0.6982,0.1495,1.2898,-0.0054,0.5301,-0.6374,-0.2435,0.5034,0.1269,1.5993,-0.3490,0.1612,0.0320,-0.0260,0.9861,-0.1200,1.1647,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,none,0.0000,none
0.097,0.0918,1.2568,-0.1149,0.3994,-0.2183,0.5412,0.7071,0.1485,1.2872,-0.0065,0.5329,-0.6372,-0.2421,0.5014,0.0918,1.2568,-0.1149,0.3994,-0.2183,0.5412,0.7071,0.1485,1.2872,-0.0065,0.5329,-0.6372,-0.2421,0.5014,0.1265,1.5994,-0.3499,0.1614,0.0309,-0.0255,0.9861,-0.1200,1.1628,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,none,0.0000,none
