TrialTime,countdownRunning,proxyThumb_x,proxyThumb_y,proxyThumb_z,proxyThumb_qx,proxyThumb_qy,proxyThumb_qz,proxyThumb_qw,proxyIndex_x,proxyIndex_y,proxyIndex_z,proxyIndex_qx,proxyIndex_qy,proxyIndex_qz,proxyIndex_qw,realThumb_x,realThumb_y,realThumb_z,realThumb_qx,realThumb_qy,realThumb_qz,realThumb_qw,realIndex_x,realIndex_y,realIndex_z,realIndex_qx,realIndex_qy,realIndex_qz,realIndex_qw,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,cyl_x,cyl_y,cyl_z,cyl_qx,cyl_qy,cyl_qz,cyl_qw,grasping,broken,slip,force,valve1,valve2,pumps,tableContact,penetration,penetrationSource
0.010,1,0.1511,1.3930,0.3996,0.2095,-0.6542,-0.0290,0.7262,0.0871,1.3948,0.4465,0.3216,-0.9468,0.0020,-0.0147,0.1511,1.3930,0.3996,0.2095,-0.6542,-0.0290,0.7262,0.0871,1.3948,0.4465,0.3216,-0.9468,0.0020,-0.0147,0.0060,1.6858,0.0003,-0.0868,-0.0116,0.0358,-0.9955,-0.1200,1.2008,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,900,none,0.0000,none
0.020,1,0.1627,1.4317,0.4122,0.1479,-0.6345,0.0550,0.7566,0.1122,1.4361,0.4596,0.2785,-0.9491,0.1462,-0.0164,0.1627,1.4317,0.4122,0.1479,-0.6345,0.0550,0.7566,0.1122,1.4361,0.4596,0.2785,-0.9491,0.1462,-0.0164,0.0101,1.6811,0.0079,-0.1156,0.0030,0.0426,-0.9924,-0.1200,1.1999,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,900,none,0.0000,none
0.030,1,0.1617,1.4406,0.4076,0.1157,-0.6186,0.1142,0.7687,0.1193,1.4456,0.4587,0.2647,-0.9426,0.2031,-0.0160,0.1617,1.4406,0.4076,0.1157,-0.6186,0.1142,0.7687,0.1193,1.4456,0.4587,0.2647,-0.9426,0.2031,-0.0160,0.0100,1.6811,0.0086,-0.1168,0.0040,0.0413,-0.9923,-0.1200,1.1985,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,900,none,0.0000,none
0.040,1,0.1628,1.4460,0.4092,0.1069,-0.6142,0.1298,0.7710,0.1233,1.4516,0.4607,0.2581,-0.9403,0.2215,-0.0139,0.1628,1.4460,0.4092,0.1069,-0.6142,0.1298,0.7710,0.1233,1.4516,0.4607,0.2581,-0.9403,0.2215,-0.0139,0.0099,1.6808,0.0093,-0.1192,0.0046,0.0388,-0.9921,-0.1200,1.1967,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,900,none,0.0000,none
0.050,1,0.1652,1.4486,0.4128,0.1038,-0.6142,0.1280,0.7718,0.1259,1.4544,0.4639,0.2551,-0.9398,0.2271,-0.0133,0.1652,1.4486,0.4128,0.1038,-0.6142,0.1280,0.7718,0.1259,1.4544,0.4639,0.2551,-0.9398,0.2271,-0.0133,0.0098,1.6805,0.0096,-0.1199,0.0057,0.0385,-0.9920,-0.1200,1.1944,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,900,none,0.0000,none
0.060,1,0.1668,1.4505,0.4153,0.1019,-0.6141,0.1270,0.7723,0.1275,1.4564,0.4663,0.2534,-0.9396,0.2296,-0.0126,0.1668,1.4505,0.4153,0.1019,-0.6141,0.1270,0.7723,0.1275,1.4564,0.4663,0.2534,-0.9396,0.2296,-0.0126,0.0096,1.6801,0.0099,-0.1222,0.0059,0.0380,-0.9918,-0.1200,1.1916,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,900,none,0.0000,none
0.070,1,0.1678,1.4510,0.4173,0.1013,-0.6139,0.1266,0.7726,0.1286,1.4569,0.4677,0.2525,-0.9380,0.2372,-0.0131,0.1678,1.4510,0.4173,0.1013,-0.6139,0.1266,0.7726,0.1286,1.4569,0.4677,0.2525,-0.9380,0.2372,-0.0131,0.0094,1.6798,0.0102,-0.1242,0.0059,0.0366,-0.9916,-0.1200,1.1882,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,900,none,0.0000,none
0.080,1,0.1685,1.4513,0.4187,0.1011,-0.6138,0.1263,0.7727,0.1293,1.4572,0.4688,0.2520,-0.9371,0.2412,-0.0131,0.1685,1.4513,0.4187,0.1011,-0.6138,0.1263,0.7727,0.1293,1.4572,0.4688,0.2520,-0.9371,0.2412,-0.0131,0.0095,1.6795,0.0110,-0.1266,0.0054,0.0354,-0.9913,-0.1200,1.1844,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,900,none,0.0000,none
0.090,1,0.1688,1.4514,0.4196,0.1073,-0.6133,0.1304,0.7716,0.1297,1.4571,0.4685,0.2515,-0.9339,0.2538,-0.0147,0.1688,1.4514,0.4196,0.1073,-0.6133,0.1304,0.7716,0.1297,1.4571,0.4685,0.2515,-0.9339,0.2538,-0.0147,0.0094,1.6791,0.0115,-0.1284,0.0058,0.0345,-0.9911,-0.1200,1.1828,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,900,none,0.0000,none
0.100,1,0.1693,1.4515,0.4202,0.1102,-0.6129,0.1320,0.7712,0.1301,1.4572,0.4684,0.2510,-0.9319,0.2613,-0.0150,0.1693,1.4515,0.4202,0.1102,-0.6129,0.1320,0.7712,0.1301,1.4572,0.4684,0.2510,-0.9319,0.2613,-0.0150,0.0093,1.6788,0.0123,-0.1306,0.0053,0.0352,-0.9908,-0.1200,1.1827,0.0320,0.0000,1.0000,0.0000,0.0000,0,0,0.0000,0,0,0,900,Table Upper Target,0.0000,none
