TrialTime,proxyThumb_x,proxyThumb_y,proxyThumb_z,proxyThumb_qx,proxyThumb_qy,proxyThumb_qz,proxyThumb_qw,proxyIndex_x,proxyIndex_y,proxyIndex_z,proxyIndex_qx,proxyIndex_qy,proxyIndex_qz,proxyIndex_qw,realThumb_x,realThumb_y,realThumb_z,realThumb_qx,realThumb_qy,realThumb_qz,realThumb_qw,realIndex_x,realIndex_y,realIndex_z,realIndex_qx,realIndex_qy,realIndex_qz,realIndex_qw,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,cyl_x,cyl_y,cyl_z,cyl_qx,cyl_qy,cyl_qz,cyl_qw,grasping,broken,slip,force,vibration,pressure,tableContact,penetration,penetrationSource
1.827,0.1107,1.3753,-0.2654,0.3331,-0.6426,0.2549,0.6413,0.0852,1.3794,-0.2458,0.2784,-0.9072,0.2722,-0.1596,0.1107,1.3753,-0.2654,0.3331,-0.6426,0.2549,0.6413,0.0852,1.3794,-0.2458,0.2784,-0.9072,0.2722,-0.1596,0.0347,1.6358,-0.5268,0.1651,0.0069,0.0351,0.9856,-0.1350,1.1627,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
1.837,0.1123,1.3744,-0.2644,0.3346,-0.6428,0.2530,0.6409,0.0882,1.3786,-0.2477,0.2736,-0.9032,0.2899,-0.1591,0.1123,1.3744,-0.2644,0.3346,-0.6428,0.2530,0.6409,0.0882,1.3786,-0.2477,0.2736,-0.9032,0.2899,-0.1591,0.0372,1.6361,-0.5273,0.1637,0.0102,0.0341,0.9859,-0.1350,1.1627,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
1.847,0.1141,1.3738,-0.2638,0.3343,-0.6426,0.2526,0.6414,0.0914,1.3780,-0.2495,0.2688,-0.8992,0.3065,-0.1589,0.1141,1.3738,-0.2638,0.3343,-0.6426,0.2526,0.6414,0.0914,1.3780,-0.2495,0.2688,-0.8992,0.3065,-0.1589,0.0394,1.6364,-0.5279,0.1623,0.0136,0.0330,0.9861,-0.1350,1.1627,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
1.857,0.1164,1.3738,-0.2633,0.3286,-0.6437,0.2483,0.6450,0.0950,1.3776,-0.2514,0.2634,-0.8949,0.3236,-0.1585,0.1164,1.3738,-0.2633,0.3286,-0.6437,0.2483,0.6450,0.0950,1.3776,-0.2514,0.2634,-0.8949,0.3236,-0.1585,0.0417,1.6367,-0.5284,0.1610,0.0164,0.0317,0.9863,-0.1350,1.1627,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
1.867,0.1215,1.3747,-0.2631,0.2981,-0.6521,0.2214,0.6610,0.0992,1.3776,-0.2517,0.2565,-0.8956,0.3297,-0.1528,0.1215,1.3747,-0.2631,0.2981,-0.6521,0.2214,0.6610,0.0992,1.3776,-0.2517,0.2565,-0.8956,0.3297,-0.1528,0.0437,1.6369,-0.5289,0.1596,0.0190,0.0307,0.9865,-0.1350,1.1627,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
1.877,0.1265,1.3753,-0.2630,0.2776,-0.6570,0.2043,0.6704,0.1037,1.3778,-0.2524,0.2488,-0.8958,0.3378,-0.1469,0.1265,1.3753,-0.2630,0.2776,-0.6570,0.2043,0.6704,0.1037,1.3778,-0.2524,0.2488,-0.8958,0.3378,-0.1469,0.0457,1.6372,-0.5294,0.1581,0.0216,0.0297,0.9867,-0.1350,1.1627,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
1.887,0.1302,1.3758,-0.2634,0.2619,-0.6598,0.1923,0.6775,0.1071,1.3783,-0.2527,0.2430,-0.8971,0.3416,-0.1396,0.1302,1.3758,-0.2634,0.2619,-0.6598,0.1923,0.6775,0.1071,1.3783,-0.2527,0.2430,-0.8971,0.3416,-0.1396,0.0475,1.6375,-0.5298,0.1569,0.0240,0.0287,0.9869,-0.1350,1.1627,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
1.897,0.1341,1.3765,-0.2636,0.2466,-0.6623,0.1799,0.6843,0.1104,1.3789,-0.2531,0.2375,-0.8981,0.3454,-0.1329,0.1341,1.3765,-0.2636,0.2466,-0.6623,0.1799,0.6843,0.1104,1.3789,-0.2531,0.2375,-0.8981,0.3454,-0.1329,0.0494,1.6375,-0.5303,0.1557,0.0261,0.0273,0.9871,-0.1350,1.1627,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
1.907,0.1382,1.3772,-0.2638,0.2318,-0.6644,0.1678,0.6904,0.1138,1.3794,-0.2536,0.2321,-0.8987,0.3499,-0.1269,0.1382,1.3772,-0.2638,0.2318,-0.6644,0.1678,0.6904,0.1138,1.3794,-0.2536,0.2321,-0.8987,0.3499,-0.1269,0.0513,1.6377,-0.5306,0.1543,0.0281,0.0268,0.9873,-0.1350,1.1627,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
1.917,0.1399,1.3780,-0.2632,0.2377,-0.6655,0.1623,0.6887,0.1178,1.3794,-0.2594,0.2252,-0.8867,0.3836,-0.1260,0.1399,1.3780,-0.2632,0.2377,-0.6655,0.1623,0.6887,0.1178,1.3794,-0.2594,0.2252,-0.8867,0.3836,-0.1260,0.0529,1.6380,-0.5311,0.1527,0.0302,0.0263,0.9875,-0.1350,1.1627,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
1.927,0.1415,1.3787,-0.2624,0.2444,-0.6663,0.1572,0.6867,0.1218,1.3795,-0.2638,0.2189,-0.8771,0.4094,-0.1236,0.1415,1.3787,-0.2624,0.2444,-0.6663,0.1572,0.6867,0.1218,1.3795,-0.2638,0.2189,-0.8771,0.4094,-0.1236,0.0546,1.6383,-0.5315,0.1513,0.0323,0.0256,0.9876,-0.1350,1.1627,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
1.937,0.1396,1.3768,-0.2600,0.2706,-0.6611,0.1583,0.6816,0.1252,1.3777,-0.2673,0.2170,-0.8664,0.4327,-0.1226,0.1396,1.3768,-0.2600,0.2706,-0.6611,0.1583,0.6816,0.1252,1.3777,-0.2673,0.2170,-0.8664,0.4327,-0.1226,0.0561,1.6387,-0.5319,0.1496,0.0342,0.0250,0.9878,-0.1350,1.1627,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
1.947,0.1396,1.3754,-0.2585,0.2865,-0.6564,0.1586,0.6796,0.1286,1.3762,-0.2699,0.2154,-0.8577,0.4510,-0.1208,0.1396,1.3754,-0.2585,0.2865,-0.6564,0.1586,0.6796,0.1286,1.3762,-0.2699,0.2154,-0.8577,0.4510,-0.1208,0.0576,1.6392,-0.5323,0.1475,0.0363,0.0243,0.9881,-0.1350,1.1627,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
1.957,0.1410,1.3751,-0.2582,0.2882,-0.6519,0.1586,0.6832,0.1308,1.3749,-0.2703,0.2155,-0.8507,0.4647,-0.1181,0.1410,1.3751,-0.2582,0.2882,-0.6519,0.1586,0.6832,0.1308,1.3749,-0.2703,0.2155,-0.8507,0.4647,-0.1181,0.0591,1.6396,-0.5328,0.1455,0.0382,0.0239,0.9883,-0.1350,1.1627,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
1.967,0.1428,1.3749,-0.2576,0.2895,-0.6473,0.1567,0.6875,0.1330,1.3739,-0.2703,0.2167,-0.8452,0.4751,-0.1141,0.1428,1.3749,-0.2576,0.2895,-0.6473,0.1567,0.6875,0.1330,1.3739,-0.2703,0.2167,-0.8452,0.4751,-0.1141,0.0605,1.6399,-0.5333,0.1441,0.0401,0.0232,0.9885,-0.1350,1.1627,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
1.977,0.1447,1.3746,-0.2570,0.2910,-0.6422,0.1547,0.6921,0.1352,1.3731,-0.2700,0.2186,-0.8413,0.4822,-0.1092,0.1447,1.3746,-0.2570,0.2910,-0.6422,0.1547,0.6921,0.1352,1.3731,-0.2700,0.2186,-0.8413,0.4822,-0.1092,0.0618,1.6404,-0.5337,0.1420,0.0420,0.0227,0.9887,-0.1350,1.1627,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
1.987,0.1464,1.3742,-0.2565,0.2920,-0.6394,0.1549,0.6942,0.1373,1.3720,-0.2699,0.2194,-0.8357,0.4915,-0.1089,0.1464,1.3742,-0.2565,0.2920,-0.6394,0.1549,0.6942,0.1373,1.3720,-0.2699,0.2194,-0.8357,0.4915,-0.1089,0.0631,1.6408,-0.5342,0.1399,0.0438,0.0222,0.9890,-0.1350,1.1627,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
1.997,0.1483,1.3737,-0.2560,0.2930,-0.6368,0.1552,0.6961,0.1393,1.3715,-0.2690,0.2201,-0.8323,0.4971,-0.1084,0.1483,1.3737,-0.2560,0.2930,-0.6368,0.1552,0.6961,0.1393,1.3715,-0.2690,0.2201,-0.8323,0.4971,-0.1084,0.0643,1.6412,-0.5346,0.1377,0.0454,0.0217,0.9892,-0.1350,1.1627,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
2.007,0.1498,1.3736,-0.2557,0.2939,-0.6345,0.1553,0.6978,0.1406,1.3724,-0.2668,0.2220,-0.8376,0.4877,-0.1059,0.1498,1.3736,-0.2557,0.2939,-0.6345,0.1553,0.6978,0.1406,1.3724,-0.2668,0.2220,-0.8376,0.4877,-0.1059,0.0655,1.6416,-0.5350,0.1353,0.0470,0.0211,0.9895,-0.1350,1.1627,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
2.017,0.1513,1.3735,-0.2554,0.2948,-0.6321,0.1555,0.6995,0.1420,1.3729,-0.2653,0.2239,-0.8406,0.4821,-0.1039,0.1513,1.3735,-0.2554,0.2948,-0.6321,0.1555,0.6995,0.1420,1.3729,-0.2653,0.2239,-0.8406,0.4821,-0.1039,0.0666,1.6421,-0.5355,0.1328,0.0485,0.0205,0.9897,-0.1350,1.1627,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
2.027,0.1528,1.3734,-0.2550,0.2958,-0.6296,0.1558,0.7013,0.1436,1.3728,-0.2645,0.2263,-0.8400,0.4811,-0.1083,0.1528,1.3734,-0.2550,0.2958,-0.6296,0.1558,0.7013,0.1436,1.3728,-0.2645,0.2263,-0.8400,0.4811,-0.1083,0.0677,1.6426,-0.5359,0.1302,0.0497,0.0198,0.9900,-0.1350,1.1627,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
2.037,0.1541,1.3730,-0.2544,0.2982,-0.6257,0.1554,0.7038,0.1446,1.3726,-0.2632,0.2310,-0.8419,0.4745,-0.1123,0.1541,1.3730,-0.2544,0.2982,-0.6257,0.1554,0.7038,0.1446,1.3726,-0.2632,0.2310,-0.8419,0.4745,-0.1123,0.0686,1.6431,-0.5364,0.1276,0.0511,0.0191,0.9903,-0.1350,1.1627,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
2.047,0.1553,1.3726,-0.2537,0.3008,-0.6215,0.1549,0.7066,0.1457,1.3722,-0.2619,0.2358,-0.8434,0.4688,-0.1151,0.1553,1.3726,-0.2537,0.3008,-0.6215,0.1549,0.7066,0.1457,1.3722,-0.2619,0.2358,-0.8434,0.4688,-0.1151,0.0696,1.6436,-0.5369,0.1251,0.0521,0.0184,0.9906,-0.1350,1.1627,-0.1050,0.0000,0.0000,0.0000,1.0000,0,0,0.0000,0,0,0,Table Upper Target,0.0000,none
