Time,Pressure (kPa)
0.0,101.22301485406956
0.0020408163265306124,102.67666645420553
0.004081632653061225,103.03625378889052
0.006122448979591837,102.66568771397874
0.00816326530612245,101.92887908532441
0.010204081632653062,101.18973875878173
0.012244897959183675,101.75995350135976
0.014285714285714287,102.61874549784707
0.0163265306122449,103.53677052475882
0.018367346938775512,104.78689256345508
0.020408163265306124,106.69123370119468
0.022448979591836737,108.98609866695807
0.02448979591836735,111.19057279526034
0.02653061224489796,112.99666645926416
0.028571428571428574,114.2867198123058
0.030612244897959186,114.65048049100788
0.0326530612244898,116.30864175610274
0.03469387755102041,116.91646401919846
0.036734693877551024,117.2619979340683
0.03877551020408164,117.78200608347097
0.04081632653061225,118.80131374340364
0.04285714285714286,119.78457888682505
0.04489795918367347,120.39806045733786
0.04693877551020409,120.93806588015579
0.0489795918367347,121.36026918321846
0.05102040816326531,121.6583787342577
0.05306122448979592,122.27514839399612
0.05510204081632654,122.41593552208793
0.05714285714285715,122.69765205136305
0.05918367346938776,123.19530751728024
0.06122448979591837,123.6146495503918
0.06326530612244899,123.89053288291576
0.0653061224489796,124.26172337861797
0.0673469387755102,124.42791415760173
0.06938775510204082,124.6046805697197
0.07142857142857144,124.97073342600694
0.07346938775510205,125.59003238514964
0.07551020408163266,126.20700755046465
0.07755102040816328,126.57808738931794
0.07959183673469389,127.30195707070715
0.0816326530612245,127.65076326668132
0.0836734693877551,128.00488099140452
0.08571428571428572,128.52043125060712
0.08775510204081634,128.63127779700054
0.08979591836734695,128.8448297073298
0.09183673469387756,129.23307716588977
0.09387755102040818,129.42822842305273
0.09591836734693879,129.70237286223625
0.0979591836734694,129.93486290185518
0.1,130.28545541553365
0.10204081632653061,130.466126433607
0.10408163265306124,130.79838152660426
0.10612244897959185,130.9665799369902
0.10816326530612246,131.09234934986898
0.11020408163265308,131.45746952700085
0.11224489795918369,131.73204078545885
0.1142857142857143,132.52483387561523
0.1163265306122449,132.29134792435582
0.11836734693877551,132.03742207228544
0.12040816326530614,130.94595033872386
0.12244897959183675,129.81299809493177
0.12448979591836735,128.422278625599
0.12653061224489798,126.30117652891096
0.1285714285714286,124.0625252424081
0.1306122448979592,122.00101976293388
0.1326530612244898,120.13970833130993
0.1346938775510204,119.16161244354609
0.13673469387755102,117.29737650948593
0.13877551020408163,116.07717924436677
0.14081632653061227,114.88334992553746
0.14285714285714288,114.01314446548824
0.14489795918367349,113.07203958151226
0.1469387755102041,111.86599058493591
0.1489795918367347,110.53472545972548
0.1510204081632653,109.2396451241178
0.15306122448979592,108.1190706392855
0.15510204081632656,107.22670219320611
0.15714285714285717,106.46775429070352
0.15918367346938778,105.91200397909384
0.16122448979591839,105.53879004386818
0.163265306122449,105.102169734201
0.1653061224489796,104.6994578446727
0.1673469387755102,104.33506484111953
0.16938775510204082,103.97969827481548
0.17142857142857143,103.64949823758418
0.17346938775510207,103.35470839201308
0.17551020408163268,103.0862232602467
0.17755102040816328,102.85991419604701
0.1795918367346939,102.68651491376102
0.1816326530612245,102.56306929470992
0.1836734693877551,102.42428979802027
0.18571428571428572,102.32275423505892
0.18775510204081636,102.2454050976512
0.18979591836734697,102.1810186196905
0.19183673469387758,102.14850131422398
0.19387755102040818,102.13672426387271
0.1959183673469388,102.112190059651
0.1979591836734694,102.094832742489
0.2,102.08340347080582
0.20204081632653062,102.08511074790373
0.20408163265306123,102.0918291994464
0.20612244897959187,102.1009821016657
0.20816326530612247,102.09899027838482
0.21020408163265308,102.09366294151451
0.2122448979591837,102.09439011509325
0.2142857142857143,102.09032742792509
0.2163265306122449,102.07701698980996
0.21836734693877552,102.06786408759065
0.22040816326530616,102.06271064005439
0.22244897959183677,102.06525574757997
0.22448979591836737,102.06364331920973
0.22653061224489798,101.4173598970474
0.2285714285714286,101.70275971858004
0.2306122448979592,102.44721157387174
0.2326530612244898,103.40719135465231
0.23469387755102042,104.42912316271693
0.23673469387755103,105.64423021278492
0.23877551020408166,107.02273000437066
0.24081632653061227,108.83122650280858
0.24285714285714288,110.62996939041865
0.2448979591836735,111.97571475471871
0.2469387755102041,112.75499190118335
0.2489795918367347,114.37510301836478
0.2510204081632653,115.4531536569623
0.25306122448979596,116.3746248543124
0.25510204081632654,116.87253325017002
0.2571428571428572,117.22397940239742
0.25918367346938775,117.62174334996607
0.2612244897959184,118.40829223221807
0.263265306122449,118.8254053202296
0.2653061224489796,119.29787844895273
0.26734693877551025,119.66623929094638
0.2693877551020408,120.04675657820195
0.27142857142857146,120.38544557655891
0.27346938775510204,120.88299038562717
0.2755102040816327,121.33298436589459
0.27755102040816326,121.60572188228444
0.2795918367346939,122.15752016357492
0.28163265306122454,122.6572939177432
0.2836734693877551,123.04550976006061
0.28571428571428575,123.47851000995539
0.28775510204081634,123.97268768919167
0.28979591836734697,124.44664678131483
0.29183673469387755,125.0314524198314
0.2938775510204082,125.46838889192412
0.2959183673469388,125.85807488952028
0.2979591836734694,126.19922995479644
0.30000000000000004,126.80382736115166
0.3020408163265306,126.9455629765201
0.30408163265306126,127.28946865489843
0.30612244897959184,127.37385240627437
0.3081632653061225,127.78078506418359
0.3102040816326531,127.92226774961159
0.3122448979591837,128.3919428408687
0.31428571428571433,128.65046885623065
0.3163265306122449,128.98224970558965
0.31836734693877555,129.67837613413795
0.32040816326530613,130.048301980138
0.32244897959183677,130.18061595522542
0.32448979591836735,130.5201269758888
0.326530612244898,130.77283560262086
0.3285714285714286,131.44385873458148
0.3306122448979592,132.24787559084444
0.33265306122448984,132.25699687682118
0.3346938775510204,131.43895821698564
