valve_freq_hz,disp_freq_hz
0,0.0
5,5.0
10,9.900990099009901
15,15.184381778741864
20,19.999999999999996
25,25.0
30,31.25
35,35.714285714285715
40,41.49377593360996
45,45.35637149028078
50,50.0
55,55.55555555555555
60,62.5
65,71.42857142857143
70,71.27882599580713
75,83.33333333333333
80,83.50730688935282
85,99.79633401221996
90,100.0
95,100.0
100,100.0
105,125.0
110,124.48979591836736
115,124.74437627811858
120,125.0
